"","loan_status","loan_amnt","int_rate","grade","emp_length","home_ownership","annual_inc","age","emp_cat","ir_cat"
"8355",0,6000,5.99,"A",2,"RENT",59000,48,"0-2","0-8"
"8356",0,8800,9.99,"B",14,"OWN",55600,32,"8+","8-11"
"8357",0,10000,10.99,"B",11,"MORTGAGE",140000,22,"8+","8-11"
"8358",0,8400,10.99,"B",3,"RENT",56000,23,"2-4","8-11"
"8359",1,4800,17.99,"E",6,"RENT",58000,26,"4-8","13.5+"
"8360",0,8800,8.49,"A",1,"RENT",48000,29,"0-2","8-11"
"8361",0,11025,10.59,"B",1,"RENT",60000,39,"0-2","8-11"
"8362",0,20400,11.49,"B",8,"RENT",72000,29,"4-8","11-13.5"
"8363",1,17725,11.49,"B",14,"RENT",38220,27,"8+","11-13.5"
"8364",0,3000,5.42,"A",0,"RENT",25000,28,"0-2","0-8"
"8365",0,8000,15.23,"C",24,"MORTGAGE",75000,24,"8+","13.5+"
"8366",0,18000,10.99,"B",0,"RENT",54000,29,"0-2","8-11"
"8367",0,1925,15.23,"C",20,"MORTGAGE",36000,28,"8+","13.5+"
"8368",0,2100,15.99,"D",4,"RENT",9600,25,"2-4","13.5+"
"8369",0,16000,10.59,"B",15,"RENT",45000,22,"8+","8-11"
"8370",0,5000,5.42,"A",17,"MORTGAGE",79200,23,"8+","0-8"
"8371",1,18300,10.99,"B",5,"MORTGAGE",74900,24,"4-8","8-11"
"8372",0,3000,11.49,"B",8,"RENT",52000,24,"4-8","11-13.5"
"8373",0,1500,10.99,"B",7,"RENT",34942,25,"4-8","8-11"
"8374",0,6400,15.99,"D",5,"RENT",75000,25,"4-8","13.5+"
"8375",0,15000,8.49,"A",6,"MORTGAGE",90000,25,"4-8","8-11"
"8376",0,3000,NA,"C",6,"OWN",49000,25,"4-8","Missing"
"8377",0,8000,5.99,"A",13,"RENT",86000,28,"8+","0-8"
"8378",0,15000,NA,"A",5,"MORTGAGE",110000,27,"4-8","Missing"
"8379",0,10000,5.99,"A",4,"MORTGAGE",325000,31,"2-4","0-8"
"8380",0,1450,8.49,"A",3,"MORTGAGE",45600,27,"2-4","8-11"
"8381",0,10000,14.79,"C",5,"MORTGAGE",70000,23,"4-8","13.5+"
"8382",0,6000,11.49,"B",18,"RENT",63000,22,"8+","11-13.5"
"8383",0,9600,12.99,"C",8,"MORTGAGE",60000,24,"4-8","11-13.5"
"8384",0,12000,10.59,"B",19,"RENT",40000,38,"8+","8-11"
"8385",0,6000,9.99,"B",3,"RENT",67000,27,"2-4","8-11"
"8386",0,10000,5.42,"A",1,"RENT",33000,23,"0-2","0-8"
"8387",0,8000,15.62,"D",4,"MORTGAGE",120000,28,"2-4","13.5+"
"8388",0,2300,14.79,"C",3,"RENT",30000,39,"2-4","13.5+"
"8389",0,14400,7.49,"A",11,"RENT",57000,24,"8+","0-8"
"8390",1,13250,13.99,"C",10,"MORTGAGE",36000,21,"8+","13.5+"
"8391",0,12250,10.59,"B",1,"RENT",28800,28,"0-2","8-11"
"8392",0,6000,12.99,"C",NA,"RENT",24000,24,"Missing","11-13.5"
"8393",1,6000,15.23,"C",33,"MORTGAGE",54902.52,25,"8+","13.5+"
"8394",0,5000,NA,"C",0,"OWN",105000,23,"0-2","Missing"
"8395",1,10000,NA,"B",12,"MORTGAGE",43000,24,"8+","Missing"
"8396",1,3000,11.99,"B",7,"MORTGAGE",48000,25,"4-8","11-13.5"
"8397",0,12000,10.99,"B",1,"RENT",39000,23,"0-2","8-11"
"8398",0,6000,8.49,"A",2,"MORTGAGE",106000,33,"0-2","8-11"
"8399",0,5000,7.49,"A",0,"MORTGAGE",28800,21,"0-2","0-8"
"8400",0,5600,5.42,"A",4,"MORTGAGE",115000,23,"2-4","0-8"
"8401",0,10000,7.49,"A",20,"MORTGAGE",68000,22,"8+","0-8"
"8402",0,4000,11.49,"B",5,"RENT",21000,27,"4-8","11-13.5"
"8403",0,2200,NA,"A",NA,"RENT",22000,24,"Missing","Missing"
"8404",0,1000,12.99,"C",2,"MORTGAGE",28000,21,"0-2","11-13.5"
"8405",0,5000,12.99,"C",15,"MORTGAGE",60000,23,"8+","11-13.5"
"8406",0,9000,16.49,"D",4,"OWN",55000,24,"2-4","13.5+"
"8407",0,35000,11.99,"B",5,"MORTGAGE",79750,35,"4-8","11-13.5"
"8408",0,2500,6.99,"A",0,"MORTGAGE",220000,29,"0-2","0-8"
"8409",1,10000,NA,"A",1,"RENT",25000,21,"0-2","Missing"
"8410",0,15000,13.49,"C",4,"RENT",65000,25,"2-4","11-13.5"
"8411",1,4000,12.99,"C",4,"OWN",24000,27,"2-4","11-13.5"
"8412",0,2000,11.49,"B",34,"MORTGAGE",91200,29,"8+","11-13.5"
"8413",0,3000,NA,"A",12,"MORTGAGE",65500,41,"8+","Missing"
"8414",0,18600,6.99,"A",14,"MORTGAGE",82305,26,"8+","0-8"
"8415",0,5525,6.99,"A",14,"MORTGAGE",67200,23,"8+","0-8"
"8416",1,1200,11.99,"B",1,"OWN",30480,37,"0-2","11-13.5"
"8417",0,7000,15.23,"C",5,"MORTGAGE",42000,21,"4-8","13.5+"
"8418",0,7200,8.49,"A",2,"RENT",60000,24,"0-2","8-11"
"8419",1,3000,10.99,"B",2,"MORTGAGE",49000,24,"0-2","8-11"
"8420",0,23000,11.99,"B",0,"RENT",65000,24,"0-2","11-13.5"
"8421",0,6000,10.59,"B",2,"RENT",46151.04,24,"0-2","8-11"
"8422",0,12500,11.49,"B",4,"RENT",60000,24,"2-4","11-13.5"
"8423",0,1800,5.99,"A",NA,"RENT",9600,30,"Missing","0-8"
"8424",0,2500,5.99,"A",17,"MORTGAGE",70000,56,"8+","0-8"
"8425",0,18000,8.49,"A",3,"RENT",84000,52,"2-4","8-11"
"8426",0,3500,6.99,"A",1,"RENT",20400,22,"0-2","0-8"
"8427",0,8000,NA,"B",2,"RENT",42000,24,"0-2","Missing"
"8428",0,6400,NA,"C",3,"RENT",30000,23,"2-4","Missing"
"8429",0,12000,NA,"A",8,"OWN",31000,25,"4-8","Missing"
"8430",0,24000,19.69,"E",5,"RENT",65000,23,"4-8","13.5+"
"8431",0,3000,10.59,"B",9,"RENT",55500,22,"8+","8-11"
"8432",0,25000,10.59,"B",17,"OWN",125000,25,"8+","8-11"
"8433",0,20000,11.99,"B",1,"RENT",76500,50,"0-2","11-13.5"
"8434",0,20000,9.99,"B",3,"RENT",160000,26,"2-4","8-11"
"8435",0,9200,NA,"B",4,"RENT",50000,49,"2-4","Missing"
"8436",0,19000,8.49,"A",17,"MORTGAGE",1e+05,31,"8+","8-11"
"8437",0,2800,7.49,"A",0,"MORTGAGE",85000,25,"0-2","0-8"
"8438",0,2200,8.49,"A",12,"MORTGAGE",175000,35,"8+","8-11"
"8439",1,25475,10.99,"B",0,"RENT",60000,22,"0-2","8-11"
"8440",0,4000,NA,"A",1,"MORTGAGE",60000,25,"0-2","Missing"
"8441",1,3075,15.62,"D",1,"MORTGAGE",28000,36,"0-2","13.5+"
"8442",0,8000,13.49,"C",8,"OWN",96000,23,"4-8","11-13.5"
"8443",0,12000,NA,"D",21,"RENT",75000,24,"8+","Missing"
"8444",0,6400,15.62,"D",6,"MORTGAGE",150000,26,"4-8","13.5+"
"8445",0,4000,5.42,"A",0,"RENT",36000,22,"0-2","0-8"
"8446",0,3500,13.99,"C",4,"RENT",38400,22,"2-4","13.5+"
"8447",0,1800,16.49,"D",5,"OWN",35000,38,"4-8","13.5+"
"8448",0,5000,9.99,"B",2,"MORTGAGE",67200,22,"0-2","8-11"
"8449",0,10000,18.39,"E",14,"MORTGAGE",48960,24,"8+","13.5+"
"8450",0,21000,9.99,"B",5,"MORTGAGE",136000,40,"4-8","8-11"
"8451",0,10000,5.99,"A",13,"MORTGAGE",60000,21,"8+","0-8"
"8452",1,10000,8.49,"A",15,"MORTGAGE",72000,28,"8+","8-11"
"8453",0,15175,21.74,"F",13,"RENT",75000,35,"8+","13.5+"
"8454",0,1800,8.49,"A",9,"MORTGAGE",60000,25,"8+","8-11"
"8455",0,5700,7.49,"A",0,"RENT",11476,24,"0-2","0-8"
"8456",0,12000,5.42,"A",1,"MORTGAGE",1e+05,31,"0-2","0-8"
"8457",0,10000,5.42,"A",10,"MORTGAGE",45992,23,"8+","0-8"
"8458",0,14000,6.99,"A",10,"MORTGAGE",71000,32,"8+","0-8"
"8459",0,5000,10.59,"B",23,"RENT",28800,32,"8+","8-11"
"8460",0,10000,5.99,"A",12,"MORTGAGE",84000,31,"8+","0-8"
"8461",0,19000,11.99,"B",4,"RENT",47000,25,"2-4","11-13.5"
"8462",0,15000,7.49,"A",4,"MORTGAGE",56000,28,"2-4","0-8"
"8463",0,6600,11.49,"B",11,"MORTGAGE",66000,25,"8+","11-13.5"
"8464",0,4100,11.99,"B",1,"RENT",48000,22,"0-2","11-13.5"
"8465",0,9450,10.99,"B",9,"MORTGAGE",78000,35,"8+","8-11"
"8466",1,7500,11.49,"B",5,"MORTGAGE",45500,31,"4-8","11-13.5"
"8467",0,12000,6.99,"A",3,"RENT",125000,26,"2-4","0-8"
"8468",0,7500,5.42,"A",24,"MORTGAGE",31000,21,"8+","0-8"
"8469",0,5600,9.99,"B",0,"RENT",60000,29,"0-2","8-11"
"8470",0,9000,5.99,"A",8,"MORTGAGE",75000,21,"4-8","0-8"
"8471",0,11400,15.23,"C",4,"RENT",60000,23,"2-4","13.5+"
"8472",0,12000,18.79,"E",1,"RENT",129005,30,"0-2","13.5+"
"8473",1,5000,8.49,"A",3,"RENT",40000,39,"2-4","8-11"
"8474",1,2800,21.74,"F",1,"RENT",23000,22,"0-2","13.5+"
"8475",0,30000,15.62,"D",15,"MORTGAGE",125004,30,"8+","13.5+"
"8476",0,9000,5.99,"A",7,"OWN",69000,23,"4-8","0-8"
"8477",0,9500,12.99,"C",3,"OWN",33600,33,"2-4","11-13.5"
"8478",0,3825,7.49,"A",4,"MORTGAGE",35000,23,"2-4","0-8"
"8479",0,28000,8.49,"A",3,"MORTGAGE",130000,32,"2-4","8-11"
"8480",0,7200,8.49,"A",32,"MORTGAGE",29000,26,"8+","8-11"
"8481",1,3000,9.99,"B",0,"MORTGAGE",25000,22,"0-2","8-11"
"8482",0,5425,11.99,"B",3,"RENT",22718,22,"2-4","11-13.5"
"8483",0,4000,13.99,"C",1,"RENT",30000,30,"0-2","13.5+"
"8484",1,1500,15.23,"C",0,"RENT",17000,41,"0-2","13.5+"
"8485",0,30000,NA,"A",26,"MORTGAGE",144000,28,"8+","Missing"
"8486",0,5000,6.99,"A",6,"RENT",60000,23,"4-8","0-8"
"8487",0,15000,8.49,"A",13,"RENT",51500,24,"8+","8-11"
"8488",0,5000,5.99,"A",3,"OWN",50000,30,"2-4","0-8"
"8489",0,7500,10.99,"B",7,"MORTGAGE",62000,31,"4-8","8-11"
"8490",0,3200,8.49,"A",3,"MORTGAGE",76200,30,"2-4","8-11"
"8491",0,5000,7.49,"A",2,"RENT",36100,23,"0-2","0-8"
"8492",0,3600,15.99,"D",29,"MORTGAGE",126000,22,"8+","13.5+"
"8493",0,3600,7.49,"A",0,"RENT",30000,24,"0-2","0-8"
"8494",1,3000,12.99,"C",NA,"OWN",57600,27,"Missing","11-13.5"
"8495",0,4800,7.49,"A",2,"RENT",45840,24,"0-2","0-8"
"8496",0,14000,13.99,"C",25,"OWN",49000,31,"8+","13.5+"
"8497",0,16000,12.99,"C",2,"RENT",45000,41,"0-2","11-13.5"
"8498",0,4000,5.42,"A",1,"RENT",50000,24,"0-2","0-8"
"8499",0,4800,14.79,"C",12,"RENT",80000,69,"8+","13.5+"
"8500",0,7000,10.99,"B",5,"RENT",35000,26,"4-8","8-11"
"8501",1,3025,10.99,"B",23,"MORTGAGE",76793,27,"8+","8-11"
"8502",0,6000,10.99,"B",10,"RENT",55000,23,"8+","8-11"
"8503",1,13000,9.99,"B",7,"MORTGAGE",40000,23,"4-8","8-11"
"8504",0,24000,18.39,"E",4,"RENT",110000,29,"2-4","13.5+"
"8505",0,23000,11.99,"B",11,"MORTGAGE",84000,23,"8+","11-13.5"
"8506",0,6000,9.99,"B",NA,"MORTGAGE",36852,24,"Missing","8-11"
"8507",0,8000,5.99,"A",18,"MORTGAGE",60000,29,"8+","0-8"
"8508",0,10000,8.49,"A",5,"RENT",55000,32,"4-8","8-11"
"8509",0,4200,5.99,"A",13,"MORTGAGE",96000,24,"8+","0-8"
"8510",1,5000,13.99,"C",3,"RENT",48000,26,"2-4","13.5+"
"8511",0,7875,NA,"B",9,"RENT",47000,28,"8+","Missing"
"8512",0,10000,NA,"B",0,"RENT",42000,23,"0-2","Missing"
"8513",0,2000,13.99,"C",1,"RENT",22000,23,"0-2","13.5+"
"8514",0,3000,11.99,"B",8,"RENT",72000,23,"4-8","11-13.5"
"8515",0,7000,13.49,"C",17,"RENT",65000,30,"8+","11-13.5"
"8516",0,4000,NA,"B",29,"RENT",36000,22,"8+","Missing"
"8517",1,9000,15.23,"C",3,"RENT",45512,25,"2-4","13.5+"
"8518",0,10000,7.49,"A",2,"RENT",60000,30,"0-2","0-8"
"8519",0,3325,16.89,"D",9,"RENT",55000,38,"8+","13.5+"
"8520",0,6000,16.49,"D",9,"RENT",107000,23,"8+","13.5+"
"8521",0,11525,12.99,"C",4,"RENT",41000,24,"2-4","11-13.5"
"8522",1,1800,8.49,"A",15,"RENT",36000,25,"8+","8-11"
"8523",0,20000,13.99,"C",0,"MORTGAGE",52000,22,"0-2","13.5+"
"8524",0,3000,20.25,"F",0,"RENT",29000,25,"0-2","13.5+"
"8525",0,8000,10.59,"B",0,"MORTGAGE",48000,27,"0-2","8-11"
"8526",0,15000,9.99,"B",10,"MORTGAGE",50000,23,"8+","8-11"
"8527",0,12000,10.99,"B",12,"MORTGAGE",61000,26,"8+","8-11"
"8528",0,4500,5.99,"A",24,"MORTGAGE",90000,30,"8+","0-8"
"8529",0,2200,10.99,"B",21,"RENT",39000,23,"8+","8-11"
"8530",1,10500,9.99,"B",2,"RENT",35000,22,"0-2","8-11"
"8531",0,10000,5.42,"A",13,"MORTGAGE",115000,36,"8+","0-8"
"8532",0,10000,16.89,"D",NA,"MORTGAGE",60000,25,"Missing","13.5+"
"8533",0,15000,NA,"B",3,"MORTGAGE",64548,29,"2-4","Missing"
"8534",1,5600,11.99,"B",5,"RENT",42000,33,"4-8","11-13.5"
"8535",1,6000,NA,"B",18,"MORTGAGE",71000,21,"8+","Missing"
"8536",0,3200,11.49,"B",3,"RENT",31000,23,"2-4","11-13.5"
"8537",0,30000,9.99,"B",6,"MORTGAGE",106921,23,"4-8","8-11"
"8538",0,10000,5.42,"A",0,"RENT",55000,25,"0-2","0-8"
"8539",0,10400,5.42,"A",0,"MORTGAGE",95000,22,"0-2","0-8"
"8540",0,7500,13.99,"C",16,"MORTGAGE",1e+05,25,"8+","13.5+"
"8541",0,5600,5.99,"A",2,"RENT",81600,25,"0-2","0-8"
"8542",0,17000,5.99,"A",3,"RENT",62000,25,"2-4","0-8"
"8543",1,5000,15.62,"D",0,"RENT",65000,25,"0-2","13.5+"
"8544",0,2000,10.99,"B",2,"OWN",54000,22,"0-2","8-11"
"8545",0,7000,6.99,"A",0,"MORTGAGE",25500,22,"0-2","0-8"
"8546",0,16200,13.99,"C",1,"RENT",50000,28,"0-2","13.5+"
"8547",1,6125,5.99,"A",25,"RENT",120000,32,"8+","0-8"
"8548",0,10000,7.49,"A",4,"RENT",43200,27,"2-4","0-8"
"8549",0,13675,7.49,"A",1,"MORTGAGE",90000,23,"0-2","0-8"
"8550",0,15000,15.99,"D",5,"MORTGAGE",45000,28,"4-8","13.5+"
"8551",0,2000,8.49,"A",6,"MORTGAGE",38423,22,"4-8","8-11"
"8552",0,5000,NA,"B",17,"RENT",42000,34,"8+","Missing"
"8553",0,12000,12.99,"C",6,"OWN",110000,38,"4-8","11-13.5"
"8554",0,5000,10.59,"B",3,"RENT",50176,28,"2-4","8-11"
"8555",0,5500,5.42,"A",3,"MORTGAGE",80000,23,"2-4","0-8"
"8556",0,8200,6.99,"A",2,"RENT",150000,22,"0-2","0-8"
"8557",1,7500,15.62,"D",7,"MORTGAGE",56000,23,"4-8","13.5+"
"8558",0,6000,13.49,"C",4,"MORTGAGE",150000,27,"2-4","11-13.5"
"8559",0,14000,9.99,"B",0,"MORTGAGE",110000,21,"0-2","8-11"
"8560",0,1500,5.42,"A",8,"RENT",58000,22,"4-8","0-8"
"8561",0,17475,11.99,"B",1,"RENT",45000,27,"0-2","11-13.5"
"8562",0,1500,15.23,"C",34,"MORTGAGE",71000,22,"8+","13.5+"
"8563",0,7200,7.49,"A",34,"MORTGAGE",78500,23,"8+","0-8"
"8564",0,8500,15.23,"C",0,"MORTGAGE",65000,23,"0-2","13.5+"
"8565",0,9800,15.99,"D",2,"MORTGAGE",136000,23,"0-2","13.5+"
"8566",1,15000,7.49,"A",11,"MORTGAGE",45600,30,"8+","0-8"
"8567",0,6500,11.99,"B",3,"RENT",16800,27,"2-4","11-13.5"
"8568",0,3350,5.42,"A",0,"MORTGAGE",91992,39,"0-2","0-8"
"8569",0,10000,13.49,"C",3,"RENT",62000,24,"2-4","11-13.5"
"8570",0,6400,NA,"A",2,"OWN",35000,25,"0-2","Missing"
"8571",0,6000,7.49,"A",9,"MORTGAGE",70000,31,"8+","0-8"
"8572",0,6000,5.99,"A",1,"MORTGAGE",47000,23,"0-2","0-8"
"8573",0,5600,15.23,"C",16,"MORTGAGE",105000,24,"8+","13.5+"
"8574",1,6575,13.49,"C",5,"RENT",36000,27,"4-8","11-13.5"
"8575",1,7000,9.99,"B",5,"RENT",42614,22,"4-8","8-11"
"8576",0,12000,10.99,"B",6,"RENT",72000,22,"4-8","8-11"
"8577",0,5000,11.49,"B",5,"RENT",75000,22,"4-8","11-13.5"
"8578",0,15000,10.99,"B",3,"MORTGAGE",120000,30,"2-4","8-11"
"8579",0,5400,7.49,"A",4,"RENT",60000,23,"2-4","0-8"
"8580",0,3375,13.49,"C",10,"RENT",33000,21,"8+","11-13.5"
"8581",1,6000,13.49,"C",NA,"RENT",27120,33,"Missing","11-13.5"
"8582",0,3200,6.99,"A",6,"MORTGAGE",48000,25,"4-8","0-8"
"8583",0,12225,7.49,"A",4,"MORTGAGE",154000,25,"2-4","0-8"
"8584",0,5000,10.99,"B",18,"MORTGAGE",98000,41,"8+","8-11"
"8585",0,12000,5.42,"A",0,"MORTGAGE",95400,21,"0-2","0-8"
"8586",0,7550,11.49,"B",11,"MORTGAGE",175000,25,"8+","11-13.5"
"8587",0,2000,11.49,"B",12,"MORTGAGE",70000,22,"8+","11-13.5"
"8588",0,4500,NA,"B",5,"RENT",72000,58,"4-8","Missing"
"8589",0,17600,10.59,"B",13,"MORTGAGE",1e+05,25,"8+","8-11"
"8590",0,8800,5.42,"A",9,"MORTGAGE",43000,26,"8+","0-8"
"8591",0,1500,10.59,"B",0,"MORTGAGE",15120,21,"0-2","8-11"
"8592",0,7000,10.99,"B",4,"RENT",89000,25,"2-4","8-11"
"8593",0,10000,15.62,"D",21,"RENT",90000,30,"8+","13.5+"
"8594",0,6250,15.99,"D",3,"RENT",27000,22,"2-4","13.5+"
"8595",0,15000,NA,"C",3,"RENT",85100,24,"2-4","Missing"
"8596",0,35000,14.79,"C",27,"MORTGAGE",215000,23,"8+","13.5+"
"8597",0,10000,6.99,"A",1,"MORTGAGE",30000,30,"0-2","0-8"
"8598",0,2500,5.99,"A",6,"MORTGAGE",81000,28,"4-8","0-8"
"8599",0,16000,12.99,"C",3,"RENT",40000,23,"2-4","11-13.5"
"8600",0,2500,NA,"C",19,"MORTGAGE",56810,26,"8+","Missing"
"8601",0,3000,5.42,"A",14,"MORTGAGE",33600,28,"8+","0-8"
"8602",0,13800,11.99,"B",23,"RENT",80600,25,"8+","11-13.5"
"8603",0,1800,5.42,"A",12,"RENT",35000,29,"8+","0-8"
"8604",0,2500,8.49,"A",1,"RENT",48000,28,"0-2","8-11"
"8605",1,5900,7.49,"A",3,"MORTGAGE",78644,22,"2-4","0-8"
"8606",0,12000,11.49,"B",19,"RENT",58000,22,"8+","11-13.5"
"8607",0,10000,8.49,"A",0,"RENT",40000,24,"0-2","8-11"
"8608",0,5000,10.59,"B",11,"RENT",50000,23,"8+","8-11"
"8609",0,6000,5.42,"A",17,"OWN",125000,26,"8+","0-8"
"8610",0,4000,5.99,"A",0,"MORTGAGE",60000,25,"0-2","0-8"
"8611",0,14000,7.49,"A",2,"OWN",35000,27,"0-2","0-8"
"8612",0,25000,17.49,"D",4,"MORTGAGE",67100,24,"2-4","13.5+"
"8613",1,5000,14.79,"C",6,"RENT",41000,21,"4-8","13.5+"
"8614",0,3250,10.99,"B",4,"MORTGAGE",39000,22,"2-4","8-11"
"8615",0,4000,10.99,"B",11,"MORTGAGE",55000,29,"8+","8-11"
"8616",0,12000,10.99,"B",3,"MORTGAGE",145000,24,"2-4","8-11"
"8617",0,3600,10.99,"B",2,"RENT",30000,22,"0-2","8-11"
"8618",0,4000,13.99,"C",7,"MORTGAGE",49000,23,"4-8","13.5+"
"8619",0,6200,5.99,"A",9,"RENT",20000,26,"8+","0-8"
"8620",0,4000,10.59,"B",22,"MORTGAGE",60000,39,"8+","8-11"
"8621",0,4000,15.23,"C",6,"RENT",35000,29,"4-8","13.5+"
"8622",0,15000,8.49,"A",4,"MORTGAGE",78000,23,"2-4","8-11"
"8623",0,8400,16.89,"D",0,"RENT",52500,23,"0-2","13.5+"
"8624",0,5000,5.42,"A",NA,"MORTGAGE",56000,25,"Missing","0-8"
"8625",0,11000,NA,"B",0,"RENT",37440,23,"0-2","Missing"
"8626",0,16000,16.89,"D",17,"OWN",75000,27,"8+","13.5+"
"8627",0,5975,11.49,"B",4,"MORTGAGE",34800,26,"2-4","11-13.5"
"8628",0,10000,14.79,"C",11,"MORTGAGE",153000,33,"8+","13.5+"
"8629",0,4475,7.49,"A",3,"MORTGAGE",140000,24,"2-4","0-8"
"8630",0,3000,5.42,"A",11,"RENT",48000,29,"8+","0-8"
"8631",0,10000,16.49,"D",2,"OWN",28800,22,"0-2","13.5+"
"8632",0,8000,8.49,"A",9,"MORTGAGE",145000,25,"8+","8-11"
"8633",0,3000,7.49,"A",2,"RENT",24000,31,"0-2","0-8"
"8634",0,2500,10.99,"B",9,"RENT",80000,38,"8+","8-11"
"8635",0,3200,8.49,"A",1,"RENT",18000,21,"0-2","8-11"
"8636",0,2650,12.99,"C",8,"MORTGAGE",52000,22,"4-8","11-13.5"
"8637",0,14000,7.49,"A",3,"RENT",65000,22,"2-4","0-8"
"8638",0,12000,11.99,"B",3,"RENT",72000,33,"2-4","11-13.5"
"8639",0,35000,16.49,"D",19,"MORTGAGE",119000,22,"8+","13.5+"
"8640",1,7425,9.99,"B",11,"OWN",71884,56,"8+","8-11"
"8641",0,2000,15.23,"C",3,"MORTGAGE",93000,25,"2-4","13.5+"
"8642",0,19000,11.99,"B",4,"MORTGAGE",105000,23,"2-4","11-13.5"
"8643",0,15000,6.99,"A",5,"RENT",1e+05,26,"4-8","0-8"
"8644",0,10000,5.99,"A",2,"MORTGAGE",62000,22,"0-2","0-8"
"8645",0,7300,7.49,"A",8,"MORTGAGE",63000,23,"4-8","0-8"
"8646",0,3500,5.99,"A",5,"MORTGAGE",54000,34,"4-8","0-8"
"8647",0,2800,10.99,"B",9,"MORTGAGE",60000,22,"8+","8-11"
"8648",0,9000,10.59,"B",15,"RENT",83000,23,"8+","8-11"
"8649",0,28000,15.62,"D",0,"MORTGAGE",110000,26,"0-2","13.5+"
"8650",0,30000,15.23,"C",6,"RENT",92004,23,"4-8","13.5+"
"8651",1,5000,11.99,"B",NA,"MORTGAGE",50000,24,"Missing","11-13.5"
"8652",0,7200,7.49,"A",2,"MORTGAGE",69935,23,"0-2","0-8"
"8653",0,16000,11.99,"B",3,"RENT",113000,24,"2-4","11-13.5"
"8654",0,15650,21.74,"F",4,"RENT",44400,24,"2-4","13.5+"
"8655",0,4000,11.49,"B",4,"RENT",75000,25,"2-4","11-13.5"
"8656",0,4750,9.99,"B",0,"RENT",60000,30,"0-2","8-11"
"8657",1,6000,12.99,"C",9,"MORTGAGE",50400,25,"8+","11-13.5"
"8658",0,4375,8.49,"A",5,"RENT",50000,23,"4-8","8-11"
"8659",0,1400,9.99,"B",4,"RENT",18576,27,"2-4","8-11"
"8660",0,3000,5.99,"A",NA,"MORTGAGE",105000,29,"Missing","0-8"
"8661",0,10000,6.99,"A",6,"MORTGAGE",75000,36,"4-8","0-8"
"8662",0,6000,NA,"B",0,"RENT",110000,24,"0-2","Missing"
"8663",0,3900,11.99,"B",2,"RENT",55000,28,"0-2","11-13.5"
"8664",0,6700,NA,"B",18,"MORTGAGE",46000,34,"8+","Missing"
"8665",0,8150,6.99,"A",0,"OWN",150750,42,"0-2","0-8"
"8666",0,1800,11.49,"B",4,"RENT",34000,21,"2-4","11-13.5"
"8667",0,18000,10.99,"B",0,"MORTGAGE",90000,39,"0-2","8-11"
"8668",0,6000,5.42,"A",31,"OWN",55316.04,26,"8+","0-8"
"8669",0,5000,11.99,"B",6,"OWN",41000,29,"4-8","11-13.5"
"8670",0,9000,10.59,"B",2,"RENT",40000,22,"0-2","8-11"
"8671",0,8000,NA,"B",12,"MORTGAGE",64000,24,"8+","Missing"
"8672",1,13000,10.59,"B",7,"RENT",67000,27,"4-8","8-11"
"8673",0,7550,9.99,"B",12,"MORTGAGE",31200,23,"8+","8-11"
"8674",0,9000,11.99,"B",3,"MORTGAGE",48000,29,"2-4","11-13.5"
"8675",0,35000,10.59,"B",20,"MORTGAGE",140000,25,"8+","8-11"
"8676",1,8000,7.49,"A",19,"MORTGAGE",87000,23,"8+","0-8"
"8677",0,9600,11.99,"B",7,"MORTGAGE",62000,30,"4-8","11-13.5"
"8678",0,7200,7.49,"A",5,"MORTGAGE",157000,31,"4-8","0-8"
"8679",0,10000,10.99,"B",23,"MORTGAGE",28000,22,"8+","8-11"
"8680",0,14500,11.99,"B",5,"MORTGAGE",32500,22,"4-8","11-13.5"
"8681",0,7000,6.99,"A",15,"MORTGAGE",65000,23,"8+","0-8"
"8682",0,20675,NA,"A",7,"MORTGAGE",73000,34,"4-8","Missing"
"8683",0,32000,10.99,"B",13,"RENT",69996,34,"8+","8-11"
"8684",0,6600,16.49,"D",0,"RENT",36000,31,"0-2","13.5+"
"8685",0,1000,5.42,"A",14,"RENT",44000,37,"8+","0-8"
"8686",0,25000,7.49,"A",3,"MORTGAGE",115000,28,"2-4","0-8"
"8687",0,11450,8.49,"A",7,"RENT",40000,29,"4-8","8-11"
"8688",0,4400,11.49,"B",19,"RENT",19200,22,"8+","11-13.5"
"8689",0,4000,13.99,"C",5,"RENT",86095,27,"4-8","13.5+"
"8690",1,5500,13.49,"C",3,"RENT",57000,26,"2-4","11-13.5"
"8691",0,3050,10.59,"B",2,"MORTGAGE",56160,23,"0-2","8-11"
"8692",0,1500,11.99,"B",8,"RENT",52000,21,"4-8","11-13.5"
"8693",0,16000,16.49,"D",11,"MORTGAGE",1e+05,30,"8+","13.5+"
"8694",0,5500,15.23,"C",5,"RENT",105000,28,"4-8","13.5+"
"8695",0,8000,15.23,"C",5,"RENT",54000,28,"4-8","13.5+"
"8696",0,7000,15.62,"D",0,"RENT",24000,24,"0-2","13.5+"
"8697",0,4200,11.99,"B",4,"MORTGAGE",48000,24,"2-4","11-13.5"
"8698",0,2000,13.99,"C",9,"RENT",35000,26,"8+","13.5+"
"8699",0,2400,10.59,"B",6,"MORTGAGE",33280,32,"4-8","8-11"
"8700",0,35000,16.89,"D",6,"MORTGAGE",77000,22,"4-8","13.5+"
"8701",1,10000,18.39,"E",9,"RENT",22000,32,"8+","13.5+"
